('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         723125 function calls (698444 primitive calls) in 1.674 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
    82/44    0.000    0.000    0.106    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    80/41    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
    80/58    0.000    0.000    0.002    0.000 typing.py:574(__getitem__)
    80/41    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
       76    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       76    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       74    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
    71/51    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       70    0.000    0.000    0.000    0.000 __init__.py:305(escape)
       70    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       68    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       66    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       63    0.000    0.000    0.000    0.000 typing.py:1023(__init__)
       63    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       60    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       59    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
       59    0.000    0.000    0.434    0.007 client.py:633(_safe_read)
